Маркитантова Н, 424 группа
Домашнее задание 2 -- Отчет
Текст: Ф.Достоевский "Преступление и наказание", несколько глав.
Анализатор: pymorphy2
и 4191
он 2634
в 1923
не 1711
что 1559
я 1316
на 1227
быть 1203
с 1126
весь 965
а 941
это 797
как 797
она 735
ты 579
но 573
вы 552
да 544
так 520
же 518
к 477
тот 414
один 394
бы 393
они 374
мочь 347
по 341
ещё 331
за 325
этот 324
у 322
даже 312
то 309
свой 297
только 290
себя 285
вдруг 277
раскольник 275
теперь 267
уже 266
о 264
вот 261
разумихин 254
такой 253
из 247
от 244
говорить 231
ведь 225
человек 224
сказать 221
ну 219
стать 219
до 219
уж 214
сам 212
знать 204
который 203
мы 201
очень 201
рука 197
самый 187
тут 185
опять 179
дело 172
когда 168
нет 168
раз 166
есть 165
ли 165
пётр 162
мой 155
тоже 150
потому 145
хотеть 145
если 144
ни 137
какой 137
минута 137
два 134
совсем 131
или 128
чем 127
ничто 126
дверь 125
другой 121
будто 120
пойти 120
глаз 119
смотреть 115
чтобы 111
лицо 111
там 109
надо 108
видеть 108
иван 107
время 104
без 104
впрочем 102
дом 102
лестница 101
день 100
комната 98
раскольников 98
думать 98
тем 96
для 95
большой 95
слово 94
тотчас 91
идти 90
сейчас 90
тогда 90
всего 88
взять 87
потом 87
хоть 87
голова 86
под 86
оба 86
брат 85
год 85
хороший 83
ж 83
квартира 83
при 81
господин 80
спросить 80
выйти 80
почти 79
ваш 79
про 79
начать 78
александр 78
заметить 78
пульхерия 77
дуня 77
кажется 76
деньга 75
кто 75
настасья 74
через 74
войти 74
более 73
улица 73
отвечать 72
родя 71
всегда 71
несколько 71
мысль 71
вчера 70
понимать 70
сделать 70
где 70
три 69
иметь 68
помнить 68
катерина 67
час 67
наконец 66
точно 66
место 66
крикнуть 66
можно 66
черта 66
нея 65
дунёчек 64
подумать 63
чтоб 63
чтоть 63
конечно 63
совершенно 62
продолжать 62
прямо 62
проговорить 62
дать 61
прийти 60
вид 60
порфирий 59
шаг 59
наш 59
посмотреть 59
имя 59
пять 58
зосим 57
прибавить 57
узнать 57
както 57
уйти 56
сидеть 56
любить 56
старуха 56
последний 56
хотя 56
роман 55
должный 55
пьяный 55
сегодня 55
бог 55
пора 54
угол 54
стоялый 54
после 54
выходить 53
зачем 53
немой 53
больной 53
скорый 53
чуть 53
случай 53
кровь 52
особенно 51
рубль 51
сей 51
диван 51
ходить 51
контора 50
бояться 50
действительно 50
авдотья 50
нельзя 50
жить 50
кричать 50
много 49
взгляд 49
перед 48
право 48
топор 48
сестра 48
соня 47
сердце 47
слишком 47
молодая 47
вопрос 47
правда 46
замёт 46
делать 46
сила 45
сторона 45
пожалуй 45
разве 45
дворник 45
жизнь 45
месяц 44
никто 44
весьма 44
каждый 44
немного 44
часы 43
письмо 43
давно 43
здесь 43
лужин 43
давеча 42
именно 42
хозяйка 42
странный 42
сюда 42
маленький 42
назад 42
твой 42
друг 41
прежде 41
нога 41
слышать 41
особенный 40
вскричать 40
голос 40
стоять 39
прежний 39
ах 39
проходить 39
непременно 39
карман 38
пройти 38
хорошо 38
глядеть 38
остановиться 38
довольно 37
между 37
разговор 37
первое 37
почему 37
всякий 37
платье 36
бывать 36
понять 36
ужасно 36
знаешь 36
однако 36
остаться 36
господь 35
стол 35
стоить 35
десять 35
ждать 35
женщина 35
чувство 34
броситься 34
полный 34
вчерашний 34
голов 34
неужели 34
дорога 34
никогда 34
завтра 34
студент 34
забыть 33
двадцать 33
обращаться 33
обратиться 33
чувствовать 33
оставаться 33
успеть 33
ибо 33
ль 33
этаж 32
мать 32
кругом 32
решить 32
увидеть 32
значит 32
вместе 32
долго 32
отворить 32
несмотря 32
разумеется 32
встать 32
девочка 31
мгновение 31
стул 31
показаться 31
четыре 31
смеяться 31
кроме 31
слушать 31
ясно 31
толпа 31
новое 31
пусть 31
никакой 31
некоторый 31
копейка 31
вперёд 31
ребёнок 31
мамаша 31
ум 31
доктор 30
над 30
зайти 30
хотеться 30
изволить 30
образ 30
ночь 29
всетаки 29
куда 29
болезнь 29
бросить 29
главный 29
маменька 29
зосимов 29
чтонибыть 29
лежать 29
дочь 29
верить 29
собственный 28
оставить 28
вода 28
гм 28
писать 28
внимание 28
просить 28
казалось 28
затем 28
иногда 28
домой 28
пристально 27
очнуться 27
часть 27
дама 27
читать 27
иной 27
принять 27
подле 27
брать 27
высокий 27
лизавета 27
вещий 27
получить 27
сесть 27
ответить 26
подойти 26
нарочно 26
взглянуть 26
приходить 26
отец 26
вспомнить 26
какойтый 26
добрый 26
позволить 26
ощущение 26
вниз 26
заметов 26
сколько 25
государь 25
мало 25
б 25
губа 25
петра 25
просто 25
видно 25
преступление 25
считать 25
милый 25
новый 25
конец 25
нечего 25
сильный 25
дрожать 25
волос 25
целый 25
знаете 24
кончить 24
тысяча 24
схватить 24
врать 24
убить 24
илья 24
бить 24
известно 24
двор 24
пробормотать 24
многий 24
видать 24
найти 24
простить 24
бедный 24
мармелад 24
стена 24
свет 24
заклад 24
серьёзно 23
пить 23
сон 23
коли 23
смех 23
страх 23
милостивый 23
нус 23
воротиться 23
тихо 23
письмоводитель 23
бежать 23
бреда 23
ужасный 23
закричать 22
вздор 22
вовсе 22
гость 22
садиться 22
становиться 22
тридцать 22
бледный 22
какнибыть 22
бельё 22
вскрикнуть 22
бумага 22
ответ 22
начало 22
спать 22
восемь 22
сообразить 21
едва 21
верно 21
разный 21
фома 21
молча 21
ворот 21
одетый 21
семён 21
внимательно 21
шесть 21
ровно 21
замечать 21
напротив 21
умный 21
написать 21
девушка 21
скоро 21
начинать 21
муж 21
марфа 21
какимтый 21
никодим 21
принести 20
плечо 20
матерь 20
странно 20
кох 20
снова 20
окно 20
настоящий 20
далёкий 20
вечер 20
ктоть 20
прийтись 20
удар 20
давать 20
положить 20
вещь 20
недоумение 20
улыбка 20
разом 19
благородный 19
представить 19
телега 19
протянуть 19
знакомый 19
подушка 19
больший 19
лежалый 19
запор 19
али 19
раздражительный 19
входить 19
обыкновенный 19
молчание 19
характер 19
наверно 19
умереть 19
крик 19
пошлый 19
дойти 19
сапог 19
ясный 19
ужас 19
вообще 18
лохмотья 18
сто 18
равно 18
увидать 18
лист 18
необыкновенный 18
искать 18
вероятно 18
поднять 18
сойти 18
дескать 18
живой 18
иначе 18
причина 18
известный 18
послушать 18
чиновник 18
мимо 18
урок 18
рассказать 18
решительно 18
дурак 18
грудь 18
обстоятельство 18
медленно 17
спасть 17
крайний 17
сначала 17
дух 17
перебить 17
например 17
дмитрий 17
согласиться 17
город 17
свидание 17
выражение 17
слышный 17
вслед 17
чрезвычайно 17
спешить 17
целовать 17
жена 17
торопиться 17
раздавить 17
мера 17
факт 17
усилие 17
отдать 17
фу 17
уверить 17
аль 17
желать 17
история 17
поразить 17
оно 17
проснуться 17
слушай 17
ключ 17
прислать 17
батюшка 17
оттого 17
состояние 17
тяжело 16
вместо 16
миколка 16
пальто 16
спокойно 16
рад 16
отпереть 16
лошадь 16
извинить 16
статья 16
произнести 16
пожалуйста 16
пока 16
баба 16
маленькая 16
стараться 16
ожидать 16
удивление 16
общий 16
неделя 16
тон 16
впечатление 16
пункт 16
красный 16
целое 16
часто 16
догадаться 16
